References
"Emerg Infect Dis 2012, 18(9):1536-7"
"Transbound Emerg Dis 2017, 64(6):1790-1800"
"J Virol 2014, 88(17):9819-29"
"Emerg Infect Dis 2008, 14(2):347-9"
"Sci Rep 2016, 6:23752"
"Emerg Microbes Infect 2017, 6(6):e58"
"J Infect Dis 2011, 204:S800-3"
"PLoS One 2007, 2(8):e764"
"Virus Genes 2018, 54(6):823-827"
"Viruses 2020, 12(5):pii: E539"
"Proc Natl Acad Sci U S A 2015, 112(49):15190-5"
"Virol Sin 2016, 31(1):69-77"
"J Virol 2011, 85(19):9847-53"
"Virol J 2021, 18:197"
"PLoS One 2011, 6(9):e25275"
"Arch Virol 2011, 156(8):1415-23"
"J Virol 2010, 84(21):11385-94"
"Proc Natl Acad Sci U S A 2020, 117(17):9529-9536"
"Viruses 2019, 11(3):pii: E209"
"Arch Virol 2015, 160(4):1113-8"
"Virol J 2012, 9:240"
"Infect Genet Evol 2015, 30:55-8"
"J Clin Microbiol 2008, 46(4):1451-61"
"Emerg Infect Dis 2010, 16(2):352-4"
"Virus Res 2010, 149(2):197-210"
"J Virol 2015, 89(8):4588-97"
"J Gen Virol 2013, 94(Pt 4):738-48"
"J Virol 2001, 75(7):3268-76"
"Emerg Infect Dis 2006, 12(3):504-6Virus Res 2008, 135(1):10-21"
"Emerg Infect Dis 2006, 12(3):504-6"
"Virology 2010, 408(2):183-9"
"Virus Res 2008, 135(1):10-21"
"Onderstepoort J Vet Res 2013, 80(1):E1-E13"
"Sci Rep 2016, 6:24257"
"Indian J Med Res 2020, 151(2 & 3):226-235"
"Infect Genet Evol 2016, 45:26-32"
"Virology 1999, 260(2):316-28and 2 related literatures."
"Emerg Infect Dis 2019, 25(1):166-170"
"Emerg Infect Dis 2005, 11(7):1042-7"
"J Virol 2014, 88(6):3605-9"
"Emerg Infect Dis 2010, 16(12):1990-3"
"Infect Genet Evol 2016, 45:224-229"
"J Virol 2012, 86(8):4288-93"
"Virus Evol 2017, 3(1):vex012"
"Proc Natl Acad Sci U S A 2013, 110(20):8194-9"
"MBio 2013, 4(5):e00598-13"
"Viruses 2022, 14:pii: 176."
"Emerg Infect Dis 2010, 16(8):1217-23"
"Virus Genes 2015, 51(1):136-9"
"Infect Genet Evol 2016, 48:10-18Virus Evol 2017, 3(1):vex012"
"Viruses 2020, 12(7):740"
"J Gen Virol 2011, 92(Pt 12):2930-6"
"J Virol 2020, 94(18):pii: e00673-20"
"J Gen Virol 2016, 97(9):2363-75"
"Arch Virol 2006, 151(2):229-39"
"Zoonoses Public Health 2020, 67(4):435-442"
"Emerg Infect Dis 2019, 25(8):1577-1580"
"PLoS One 2016, 11(12):e0169153"
"Vet Microbiol 2006, 117(2-4):267-75"
"J Gen Virol 2012, 93(Pt 9):2037-45"
"J Gen Virol 2017, 98(12):3046-3059"
"Emerg Infect Dis 2020, 26:3051-3055"
"Emerg Infect Dis 2016, 22(8):1456-9"
"Infect Genet Evol 2018, 63:104-109"
"Arch Virol 2017, 162(6):1529-1539"
"Virology 2010, 404(1):106-16"
"Virology 2001, 283(2):215-29Arch Virol 2002, 147(7):1323-48"
"Nat Commun 2013, 4:2770"
"J Virol Methods 2007, 141(1):97-101"
"Vector Borne Zoonotic Dis 2010, 10(2):183-90"
"J Gen Virol 2012, 93(Pt 4):850-6"
"Viruses 2020, 12:pii: E1236."
"PLoS Pathog 2009, 5(7):e1000536"
"R Soc Open Sci 2018, 5(5):180041"
"J Gen Virol 2017, 98(4):739-748"
"Arch Virol 2010, 155(8):1295-9"
"J Vet Med Sci 2020, 82(2):162-167"
"PLoS One 2007, 2(6):e566"
"PLoS Negl Trop Dis 2016, 10(7):e0004812"
"J Virol 2005, 79(16):10487-97"
"Mol Ecol 2010, 19(10):2120-36"
"PLoS Negl Trop Dis 2017, 11:e0005541"
"PLoS Negl Trop Dis 2016, 10(7):e0004812Genome Biol Evol 2017, 9(11):3202-3213"
"Genome Biol Evol 2017, 9(11):3202-3213"
"Viruses 2020, 13:pii: E23."
"Virus Res 2011, 155(1):112-22"
"PLoS One 2008, 3(4):e2057Genome Biol Evol 2017, 9(11):3202-3213"
"Virus Genes 2013, 46(2):330-6"
"Emerg Infect Dis 2009, 15(2):280-4Genome Biol Evol 2017, 9(11):3202-3213"
"Emerg Infect Dis 2009, 15(2):280-4"
"Viruses 2018, 10(3):pii: E102"
"Zoonoses Public Health 2018, 65(1):30-42"
"Acta Vet Hung 2015, 63(4):508-25"
"PLoS One 2011, 6(5):e19156"
"J Virol 2010, 84(18):9557-74Genome Biol Evol 2017, 9(11):3202-3213"
"Arch Virol 2013, 158(4):809-20"
"PLoS Negl Trop Dis 2016, 10(1):e0004378"
"Bing Du Xue Bao 2012, 28(4):403-8"
"J Virol 2013, 87(15):8638-50"
"J Gen Virol 2010, 91(Pt 10):2601-9"
"Virus Genes 2012, 45(1):76-83"
"J Virol 2010, 84(8):3889-97"
"Arch Virol 2017, 162(5):1201-1209"
"Vet Rec 2004, 154(19):589-95Genome Biol Evol 2017, 9(11):3202-3213"
"Arch Virol 2007, 152(2):273-88"
"Environ Microbiol 2015, 17(11):4280-9"
"Nat Commun 2014, 5:5651"
"Transbound Emerg Dis 2021, :"
"Epidemiol Infect 2014, 142(6):1155-66PLoS Negl Trop Dis 2014, 8(5):e2835"
"Arch Virol 2010, 155(10):1655-62"
"PLoS One 2014, 9(6):e98622Genome Biol Evol 2017, 9(11):3202-3213"
"Emerg Infect Dis 2004, 10(5):948-52"
"PLoS One 2014, 9(6):e98622"
"Arch Virol 2013, 158(11):2333-40"
"Adv Virus Res 2017, 99:199-232"
"Zoonoses Public Health 2019, 66(2):254-258"
"Vector Borne Zoonotic Dis 2013, 13(7):516-9"
"Virus Genes 2014, 48(2):366-71"
"J Gen Virol 2009, 90(Pt 8):2015-22"
"J Clin Microbiol 2006, 44(5):1697-710"
"Nature 2018, 556(7700):255-258"
"Viruses 2022, 14:pii: 184."
"mBio 2022, 13:e0046322"
"Virol Sin 2017, 32(3):226-234"
"PLoS Negl Trop Dis 2018, 12(4):e0006290"
"PLoS Negl Trop Dis 2014, 8(5):e2835"
"Virus Evol 2018, 4(1):vey002"
"Sci Rep 2020, 10:20296"
"Virology 2022, 571:1-11"
"Arch Virol 2010, 155(6):941-8"
"Viruses 2020, 12:pii: E891"
"Emerg Infect Dis 2022, 28:1137-1145"
"Emerg Infect Dis 2006, 12(8):1274-7"
"BMC Res Notes 2012, 5:690"
"Emerg Infect Dis 2011, 17(3):520-3"
"Virol J 2016, 13:110"
"Emerg Infect Dis 2011, 17(8):1519-22"
"Vector Borne Zoonotic Dis 2017, 17(4):278-280"
"Viruses 2018, 10(4):pii: E143"
"J Virol 2017, 91(2):pii: e01504-16"
"Viruses 2019, 11(6):pii: E568"
"Virol J 2014, 11(1):196"
"Ecohealth 2021, 18(123):133"
"Virus Res 2013, 177(2):201-4"
"Acta Vet Scand 2017, 59(1):62"
"Emerg Infect Dis 2004, 10(5):948-52Emerg Infect Dis 2006, 12(8):1274-7"
"Epidemiol Infect 2014, 142(6):1155-66"
"Arch Virol 2015, 160(6):1489-98"
"Virology 2002, 298(2):286-305"
"Nature 2018, 556(7700):255-258Viruses 2019, 11:pii: E379."
"Mol Ecol 2014, 23(9):2340-52"
"J Gen Virol 2007, 88(Pt 10):2651-5"
"J Virol Methods 2006, 135(2):281-7"
"J Wildl Dis 2008, 44(3):612-21"
"Viruses 2019, 11:pii: E379."
"Arch Virol 2007, 152(2):273-88PLoS Negl Trop Dis 2014, 8(5):e2835"
"Trop Med Infect Dis 2020, 5(1):pii: E34"
"J Virol 2005, 79(4):2001-9"
"Emerg Infect Dis 2013, 19(4):638-40"
"Vet Rec 2004, 154(19):589-95and 2 related literatures."
"Virology 1995, 209(2):526-37and 2 related literatures."
"Virology 1995, 209(2):526-37and 3 related literatures."
"Virus Res 2001, 74(1-2):139-56"
"Virology 1995, 209(2):526-37PLoS One 2008, 3(4):e2057"
"J Gen Virol 2005, 86(Pt 10):2849-58"
"J Gen Virol 1997, 78:2319-28Genome Biol Evol 2017, 9(11):3202-3213"
"J Gen Virol 1997, 78:2319-28and 2 related literatures."
"J Gen Virol 2005, 86(Pt 10):2849-58Genome Biol Evol 2017, 9(11):3202-3213"
"Emerg Infect Dis 2019, 25(2):333-337"
"PLoS Pathog 2013, 9(10):e1003657"
"J Gen Virol 2003, 84(Pt 10):2685-9"
"PLoS Pathog 2012, 8(6):e1002786"
"Zoonoses Public Health 2013, 60(1):46-57"
"J Gen Virol 2012, 93(Pt 12):2652-7"
"J Virol 2022, 96:e0109821"
"Genome Announc 2014, 2(5):pii: e01028-14"
"Am J Trop Med Hyg 1999, 60(3):502-7"
"J Gen Virol 2017, 98(9):2297-2309"
"J Virol 2008, 82(18):9107-14"
"J Gen Virol 2008, 89(Pt 5):1282-7"
"J Gen Virol 2006, 87(Pt 9):2461-6J Gen Virol 2008, 89(Pt 5):1282-7"
"J Gen Virol 2006, 87(Pt 9):2461-6"
"J Gen Virol 2006, 87(Pt 8):2309-21"
"Proc Natl Acad Sci U S A 2021, 118:pii: e2019907118."
"Virol J 2021, 18:205"
"BMC Vet Res 2017, 13(1):387"
"Emerg Infect Dis 2011, 17(12):2270-6"
"Virology 2017, 507:1-10"
"Virology 2015, 474:19-27"
"Virology 2018, 514:88-97"
"Infect Genet Evol 2021, 95:105041"
"Virus Res 2003, 97(2):65-79Virus Res 2008, 136(1-2):81-90"
"Emerg Infect Dis 2003, 9(3):333-7"
"J Virol 2012, 86(23):12816-25"
"J Virol 2010, 84(24):13004-18"
"Infect Genet Evol 2016, 44:510-3"
"PLoS Pathog 2017, 13(11):e1006698"
"Zoonoses Public Health 2018, 65(6):702-710"
"PLoS Negl Trop Dis 2016, 10(1):e0004378Genome Announc 2016, 4(2):pii: e00188-16"
"Vaccine 2007, 25(15):2800-10"
"Science 2010, 329(5992):676-9"
"Science 2010, 329(5992):676-9Proc Natl Acad Sci U S A 2012, 109(48):19715-20"
"Science 2010, 329(5992):676-9PLoS Pathog 2012, 8(6):e1002786"
"PLoS Pathog 2012, 8(5):e1002720"
"J Gen Virol 2003, 84(Pt 4):795-802Virus Res 2007, 130(1-2):172-81"
"Virus Res 2007, 130(1-2):172-81"
"Microorganisms 2020, 8(6):pii: E844"
"PLoS One 2014, 9(1):e87194"
"Emerg Infect Dis 2019, 25(5):955-957"
"J Virol 2012, 86(15):8014-30"
"Virus Res 2005, 109(2):139-47"
"Nature 2022, :"
"ISME J 2016, 10(3):609-20"
"Virol J 2017, 14(1):239"
"Virus Res 2019, 260:60-66"
"Sci Rep 2018, 8(1):12533"
"Emerg Microbes Infect 2018, 7(1):154"
"PLoS One 2012, 7(8):e43106"
"PLoS One 2017, 12(11):e0186943"
"Cell 2021, 184:4380-4391.e14"
"Emerg Infect Dis 2014, 20(10):1771-3"
"Ann Clin Microbiol Antimicrob 2019, 18(1):11"
"Viruses 2021, 13:pii: 158."
"Viruses 2019, 11(12):pii: E1157"
"PLoS One 2018, 13(3):e0194527"
"Emerg Infect Dis 2010, 16(6):986-8"
"Viruses 2020, 13:pii: E4."
"Viruses 2022, 14:pii: 337."
"J Virol 2012, 86(17):9134-47"
"Pathogens 2022, 11:pii: 434."
"PLoS One 2012, 7(6):e38688"
"J Gen Virol 2015, 96(Pt 4):815-21"
"Infect Genet Evol 2021, 90:104769"
"Viruses 2021, 13:pii: 1073."
"J Virol 2014, 88(12):7070-7082"
"J Gen Virol 2013, 94(Pt 9):1984-94"
"J Gen Virol 2007, 88(Pt 3):956-66Arch Virol 2007, 152(7):1259-71"
"Curr Biol 2020, 30:2196-2203.e3"
"Infect Genet Evol 2017, 48:19-26"
"Nat Microbiol 2018, 3(10):1084-1089"
"Emerg Infect Dis 2019, 25(9):1774-1775"
"J Gen Virol 2013, 94(Pt 1):69-75"
"PLoS Pathog 2015, 11(2):e1004664"
"Arch Virol 2007, 152(11):1995-2004"
"J Vet Med Sci 2004, 66(10):1271-3and 3 related literatures."
"J Vet Med Sci 2004, 66(10):1271-3and 2 related literatures."
"J Vet Med Sci 2005, 67(7):647-52"
"Arch Virol 2007, 152(11):1995-2004Infect Genet Evol 2010, 10(2):278-83"
"J Vet Med Sci 2004, 66(10):1271-3J Vet Med Sci 2007, 69(11):1145-54"
"J Vet Med Sci 2005, 67(7):647-52and 3 related literatures."
"J Vet Med Sci 2005, 67(7):647-52and 2 related literatures."
"Arch Virol 2006, 151(11):2243-51"
"Arch Virol 2006, 151(11):2243-51Arch Virol 2007, 152(11):1995-2004"
"J Vet Med Sci 2005, 67(7):647-52Virus Genes 2009, 38(1):74-9"
"J Vet Med Sci 2005, 67(7):647-52Infect Genet Evol 2010, 10(2):278-83"
"J Vet Med Sci 2005, 67(7):647-52J Vet Med Sci 2007, 69(11):1145-54"
"Acta Virol 2006, 50(1):33-7"
"Arch Virol 2012, 157(1):93-105"
"J Virol Methods 2011, 174(1-2):1-6"
"Infect Genet Evol 2017, 48:127-130"
"J Clin Virol 2003, 26(3):317-30J Vet Med Sci 2004, 66(7):747-53"
"J Clin Virol 2003, 26(3):317-30"
"J Gen Virol 2014, 95(Pt 11):2442-9"
"Infect Genet Evol 2015, 31:158-60"
"Sci Rep 2017, 7(1):10917"
"Infect Genet Evol 2015, 33:288-92"
"Vector Borne Zoonotic Dis 2014, 14(12):846-55Infect Genet Evol 2016, 41:227-32"
"Infect Genet Evol 2018, 58:253-257"
"Vector Borne Zoonotic Dis 2020, 20(2):155-158"
"J Virol 2006, 80(15):7481-90"
"J Virol 2010, 84(21):11336-49"
"Virol Sin 2016, 31(1):31-40"
"Emerg Infect Dis 2013, 19(3):456-9"
"J Virol 2007, 81(8):4012-20"
"J Virol 2015, 89(23):11858-70"
"Appl Environ Microbiol 2017, 83(18):pii: e01326-17"
"Commun Biol 2022, 5:491"
"Emerg Infect Dis 2007, 13(9):1295-300"
"Microb Ecol 2020, 79(1):203-212"
"J Virol 2012, 86(8):4620-30"
"Virol J 2017, 14(1):40"
"Virus Genes 2018, 54(4):599-602"
"PLoS One 2013, 8(4):e61950"
"J Virol 2017, 91(5):pii: e01953-16"
"Microbiol Resour Announc 2019, 8(28):pii: e00548-19"
"J Infect Dis 2016, 213(4):579-83"
"Sci China Life Sci 2016, 59(6):604-14"
"Front Microbiol 2018, 9:2562"
"Emerg Infect Dis 2014, 20(7):1260-2"
"Vector Borne Zoonotic Dis 2009, 9(2):157-70"
"Viruses 2022, 14:pii: 781."
"Arch Virol 2002, 147(11):2197-205"
"Emerg Infect Dis 2013, 19(11):1819-23"
"Emerg Infect Dis 2002, 8(1):79-81"
"Emerg Infect Dis 2002, 8(1):79-81Arch Virol 2002, 147(11):2197-205"
"Vector Borne Zoonotic Dis 2005, 5(4):330-41"
"Ecohealth 2016, 13(1):72-82"
"Emerg Infect Dis 2013, 19(6):989-91"
"Genome Biol Evol 2014, 6(1):94-104"
"Viruses 2017, 9(12):pii: E364"
"Nature 2020, 586(7829):424-428"
"Zoonoses Public Health 2016, 63(8):608-615"
"J Gen Virol 2011, 92(Pt 4):768-72"
"Proc Biol Sci 2019, 286(1912):20191527"
"Viruses 2021, 13:pii: 252."
"J Gen Virol 2017, 98(2):225-229"
"Ecohealth 2016, 13(4):761-774"
"Arch Virol 2011, 156(10):1883-90"
"Virology 2018, 516:227-238"
"PLoS Negl Trop Dis 2012, 6(5):e1635"
"Emerg Microbes Infect 2017, 6(3):e14"
"Viruses 2014, 6(5):1897-910"
"Emerg Infect Dis 2021, 27(4):1141-1145"
"Proc Natl Acad Sci U S A 2012, 109(48):19715-20"
"Science 2010, 329(5992):676-9and 2 related literatures."
"Virol J 2018, 15(1):104"
"Virology 2018, 517:88-97"
"Virus Res 2012, 165(2):119-25"
"Microbiol Resour Announc 2019, 8(16):pii: e00280-19"
"Arch Virol 2020, 166(1):207-212"
"Arch Virol 2013, 158(12):2543-52"
"Viruses 2021, 13:pii: 1962."
"Vet Microbiol 2008, 131(1-2):26-34"
"Arch Virol 2017, 162(8):2403-2407"
"Virus Genes 2020, 56(1):99-103"
"Proc Natl Acad Sci U S A 2012, 109(11):4269-74"
"Viruses 2019, 11(5):pii: E423"
"Viruses 2013, 5(11):2679-89"
"J Gen Virol 2009, 90(Pt 4):883-7"
"Viruses 2022, 14:pii: 288."
"Proc Natl Acad Sci U S A 2013, 110(40):16151-6"
"Viruses 2021, 13:pii: 2041."
"Virus Genes 2009, 39(1):90-3"
"Virol Sin 2018, 33(1):108-110"
"Emerg Infect Dis 2009, 15(9):1377-84"
"Arch Virol 2019, 164(8):2179-2182"
"Virology 2006, 351(1):180-7"
"Virology 2007, 367(2):428-39"
"Proc Natl Acad Sci U S A 2005, 102(39):14040-5"
"J Virol 2010, 84(6):2808-19"
"Viruses 2018, 10(8):pii: E443"
"PLoS Pathog 2013, 9(2):e1003159"
"J Virol 2012, 86(20):10999-1012"
"Virology 2010, 405(2):352-60"
"Rev Inst Med Trop Sao Paulo 2007, 49(6):389-90"
"Virus Res 2013, 173(2):415-20"
"Virus Res 2005, 111(1):28-43Virus Res 2008, 136(1-2):81-90"
"PLoS Negl Trop Dis 2013, 7(3):e2097"
"Arch Virol 2020, 165(4):1019-1022"
"Viruses 2019, 11(6):pii: E523"
"J Gen Virol 2006, 87(Pt 8):2323-31"
"J Gen Virol 2013, 94(Pt 11):2393-8"
"Vopr Virusol 2014, 59(5):23-6"
"Emerg Infect Dis 2013, 19(12):1978-80"
"Emerg Infect Dis 2013, 19(5):793-5"
"J Virol 2011, 85(17):8819-28"
"Emerg Infect Dis 2008, 14(4):626-31"
"Vector Borne Zoonotic Dis 2010, 10(8):785-91"
"Vector Borne Zoonotic Dis 2012, 12(6):530-3"
"Virus Genes 2012, 44(1):40-4"
"Emerg Infect Dis 2013, 19(10):1711-3"
"Zoonoses Public Health 2013, 60(1):35-45"
"J Virol 2012, 86(8):4715"
"Emerg Microbes Infect 2018, 7(1):66"
"Infect Genet Evol 2016, 41:113-9"
"Viruses 2019, 11(10):pii: E887"
"Microorganisms 2022, 10:pii: 266"
"J Virol 2001, 75(17):8096-104"
"Emerg Infect Dis 2012, 18(1):159-61"
"Sci Rep 2019, 9(1):573"
"Viruses 2019, 11(3):pii: E228"
"PLoS One 2020, 15:e0230802"
"BMC Vet Res 2017, 13(1):396"
"Viruses 2020, 12:pii: E422"
"Vector Borne Zoonotic Dis 2006, 6(2):208-15"
"MBio 2016, 7(6):pii: e01425-16"
"Virol J 2012, 9:34"
"J Gen Virol 2015, 96(12):3525-31"
"PLoS Pathog 2011, 7(10):e1002304"
"mSphere 2016, 1(1):pii: e00070-15"
"J Gen Virol 2015, 96(8):2442-52"
"Emerg Infect Dis 2011, 17(3):449-56"
"Emerg Infect Dis 2013, 19(10):1697-9J Virol 2014, 88(19):11297-303"
"Emerg Infect Dis 2014, 20(4):697-700"
"J Virol 2018, 92(13):pii: e00116-18"
"BMC Vet Res 2017, 13(1):216"
"Arch Virol 2004, 149(6):1139-54"
"Sci Rep 2020, 10:22384"
"Viruses 2015, 7(12):6279-90"
"J Gen Virol 2013, 94(Pt 5):1028-38"
"Virus Genes 2013, 47(2):378-81"
"Genome Announc 2017, 5(3):pii: e01053-16"
"Emerg Infect Dis 2009, 15(12):2052-5J Virol 2012, 86(3):1888-92"
"MBio 2017, 8(2):pii: e00373-17Virus Evol 2017, 3(1):vex012"
"MBio 2017, 8(2):pii: e00373-17"
"PLoS Negl Trop Dis 2014, 8(9):e3147"
"Infect Genet Evol 2020, 84:104367"
"Epidemiol Infect 2010, 138(11):1581-5"
"Transbound Emerg Dis 2018, 65(3):593-596"
"Emerg Microbes Infect 2021, 10:1507-1514"
"Emerg Infect Dis 2010, 16(12):2004-6"
"Nat Commun 2021, 12:972"
"Virol Sin 2016, 31(1):31-40Nature 2020, 579(7798):270-273"
"Arch Virol 2022, 167:979-982"
"Science 2005, 310(5748):676-9"
"Sci Rep 2021, 11:14723"
"PLoS One 2015, 10(3):e0118598"
"Nature 2013, 503(7477):535-8"
"J Gen Virol 2010, 91(Pt 4):1058-62"
"Vet Rec 2003, 152(13):383-7J Virol 2010, 84(22):11841-8"
"Arch Virol 2007, 152(2):273-88J Virol 2010, 84(22):11841-8"
"J Gen Virol 2008, 89(Pt 9):2204-13and 3 related literatures."
"Arch Virol 2002, 147(11):2111-23and 2 related literatures."
"Genome Announc 2015, 3(1):pii: e01518-14"
"J Virol 2010, 84(22):11841-8"
"Arch Virol 2002, 147(11):2111-23Arch Virol 2007, 152(2):273-88"
"J Gen Virol 2007, 88(Pt 4):1302-14J Gen Virol 2008, 89(Pt 9):2204-13"
"J Gen Virol 2016, 97(10):2488-2493"
"J Virol 2013, 87(22):12357-66"
"Virus Genes 2020, 56(3):325-328"
"Proc Natl Acad Sci U S A 2004, 101(46):16328-32"
"Arch Virol 2010, 155(4):507-14"
"Virus Res 2012, 170(1-2):159-63"
"J Virol 2014, 88(15):8268-77"
"J Gen Virol 2016, 97(12):3345-3358"
"J Gen Virol 2017, 98(11):2771-2785"
"Braz J Microbiol 2021, 52:1627-1630"
"Zoonoses Public Health 2013, 60(1):84-92"
"Genome Announc 2015, 3(6):pii: e01393-15"
"mBio 2022, 13:e0005422"
"Virol J 2017, 14(1):181"
"PLoS One 2012, 7(4):e34987"
"Virus Res 2015, 200:35-44"
"J Gen Virol 2002, 83(Pt 10):2443-54"
"Emerg Infect Dis 2008, 14(12):1890-3"
"Arch Virol 2020, 165(8):1899-1903"
"PLoS One 2012, 7(8):e43986"
"Vet Rec 2003, 152(13):383-7"
"Emerg Infect Dis 2018, 24(4):782-785"
"Am J Trop Med Hyg 2006, 75(6):1165-70"
"Emerg Infect Dis 2020, 26:3056-3060"
"J Gen Virol 2005, 86(Pt 11):3153-62"
"Epidemiol Infect 2006, 134(6):1313-24"
"Virus Res 2006, 117(2):215-26"
"Epidemiol Infect 2005, 133:927-34"
"Virol J 2018, 15(1):37"
"Epidemiol Infect 2002, 128(3):503-11"
"Emerg Infect Dis 2013, 19(6):1002-4"
"Virus Genes 2017, 53(6):856-867"
"J Gen Virol 2016, 97(7):1625-35"
"J Virol 2015, 90(6):3253-6"
"Emerg Infect Dis 2013, 19(7):1159-61Infect Genet Evol 2016, 45:26-32"
"Virol J 2019, 16(1):8"
"MBio 2010, 1(4):pii: e00208-10"
"Sci Rep 2020, 10(1):1370"
