id,doi,title,abstract,year,month,day,source
13,10.1016/j.virol.2018.01.017,Detection and phylogenetic analysis of torque teno virus (TTV) carried by murine rodents and house shrews in China,"Between May 2015 and May 2017, 496 animals (473 murine rodents and 23 house shrews) were captured in six regions of China. A total of 22.8% (113/496) of throat swabs, 29.1% (142/488) of fecal samples and 23.8% (54/227) of serum samples tested positive for rodent torque teno virus 3 (RoTTV3). The positive rate in Rattus norvegicus was higher than the rate in Rattus tanezumi and Rattus losea. Of 23 house shrews, one throat swab and one serum sample were positive for RoTTV3. Ten murine rodents were simultaneously positive for RoTTV3 in throat swab, fecal and serum samples. Phylogenetic analysis showed that the 12 near-full length genomes of RoTTVs sequences obtained in this study represented a novel RoTTV genotype (RoTTV3). In conclusion, high prevalence rates of RoTTV3 were found in three common murine rodents in China, and the RoTTV3 obtained in this study were classified as a novel genotype of RoTTV.",2018,3,NA,zover
14,10.1038/s41426-018-0089-y,An epizootic of <i>Chlamydia psittaci</i> equine reproductive loss associated with suspected spillover from native Australian parrots,"Chlamydia psittaci is an avian pathogen capable of spill-over infections to humans. A parrot C. psittaci strain was recently detected in an equine reproductive loss case associated with a subsequent cluster of human C. psittaci infections. In this study, we screened for C. psittaci in cases of equine reproductive loss reported in regional New South Wales, Australia during the 2016 foaling season. C. psittaci specific-PCR screening of foetal and placental tissue samples from cases of equine abortion (nâ€‰=â€‰161) and foals with compromised health status (nâ€‰=â€‰38) revealed C. psittaci positivity of 21.1% and 23.7%, respectively. There was a statistically significant geographical clustering of cases ~170â€‰km inland from the mid-coast of NSW (Pâ€‰<â€‰0.001). Genomic analysis and molecular typing of C. psittaci positive samples from this study and the previous Australian equine index case revealed that the equine strains from different studs in regional NSW were clonal, while the phylogenetic analysis revealed that the C. psittaci strains from both Australian equine disease clusters belong to the parrot-associated 6BC clade, again indicative of spill-over of C. psittaci infections from native Australian parrots. The results of this work suggest that C. psittaci may be a more significant agent of equine reproductive loss than thought. A range of studies are now required to evaluate (a) the exact role that C. psittaci plays in equine reproductive loss; (b) the range of potential avian reservoirs and factors influencing infection spill-over; and",2018,5,16,zover
16,10.1371/journal.pone.0141952,New Type of Papillomavirus and Novel Circular Single Stranded DNA Virus Discovered in Urban Rattus norvegicus Using Circular DNA Enrichment and Metagenomics,"Rattus norvegicus (R. norvegicus) are ubiquitous and their presence has several effects on the human populations in our urban areas on a global scale. Both historically and presently, this close interaction has facilitated the dissemination of many pathogens to humans, making screening for potentially zoonotic and emerging viruses in rats highly relevant. We have investigated faecal samples from R. norvegicus collected from urban areas using a protocol based on metagenomic enrichment of circular DNA genomes and subsequent sequencing. We found a new type of papillomavirus, with a L1 region 82% identical to that of the known R. norvegicus Papillomavirus 2. Additionally, we found 20 different circular replication associated protein (Rep)-encoding single stranded DNA (CRESS-DNA) virus-like genomes, one of which has homology to the replication-associated gene of Beak and feather disease virus. Papillomaviruses are a group of viruses known for their carcinogenic potential, and although they are known to infect several different vertebrates, they are mainly studied and characterised in humans. CRESS-DNA viruses are found in many different environments and tissue types. Both papillomaviruses and CRESS-DNA viruses are known to have pathogenic potential and screening for novel and known viruses in R. norvegicus could help identify viruses with pathogenic potential.",2015,11,11,zover
17,10.1007/s00705-016-3004-7,Molecular detection and genome characterization of porcine circovirus type 2 in rats captured on commercial swine farms,"Porcine circovirus type 2 (PCV2) is considered the major etiological pathogen of porcine circovirus-associated diseases (PCVADs) in pigs. Recently, PCV2 was also found in non-porcine animals such as cattle, rats, and mice. However, there was no record of PCV2 in rats in China. The goal of this study was to investigate whether PCV2 was present in rats (Rattus norvegicus, RN) on three swine farms, using molecular tools. PCR results showed that 30 of 95 (31.6Â %) rat samples were positive for PCV2. Moreover, further genotype analysis suggested that 10 of 30 (33.3Â %) were positive for PCV2a, 19 of 30 (63.3Â %) were positive for PCV2b, and only one sample (1/30, 3.33Â %) was co-infected by PCV2a and PCV2b. To determine the possible origin of PCV2, 60 serum samples were also collected from weaned pigs on those swine farms, and 23 out of 60 samples were positive for PCV2. In addition, two distinct RN-origin and two distinct porcine-origin PCV2 full-length nucleotide sequences were obtained from the farms. Sequence and phylogenetic analysis indicated that they had the highest nucleotide similarity and closest genetic relationships to each other. In this study, we report the infection and genome characterization of PCV2 in rats and compare RN-origin and porcine-origin PCV2 sequences obtained from the same pig farm, revealing possible cross-species transmission of PCV2.",2016,8,16,zover
18,10.1007/s11262-015-1217-6,Novel cyclovirus detected in the intestinal contents of Taiwan squirrels (Callosciurus erythraeus thaiwanensis),"A novel cyclovirus was identified in the intestinal contents of Taiwan squirrels (Callosciurus erythraeus thaiwanensis) collected in Kanagawa prefecture, Japan, by metagenomic analysis, and was named Taiwan squirrel cyclovirus-1 (TsCyV-1). Phylogenetic analysis showed that TsCyV-1 formed a branch separate from other representative cyclovirus strains. TsCyV-1 is considered to be a new species in the genus Cyclovirus because the criteria for demarcation of cyclovirus species is proposed as nucleotide identities <80 %.",2015,6,19,zover
19,10.1007/s00705-016-2762-6,High genetic structuring of Tula hantavirus,"Tula virus (TULV) is a vole-associated hantavirus with low or no pathogenicity to humans. In the present study, 686 common voles (Microtus arvalis), 249 field voles (Microtus agrestis) and 30 water voles (Arvicola spec.) were collected at 79 sites in Germany, Luxembourg and France and screened by RT-PCR and TULV-IgG ELISA. TULV-specific RNA and/or antibodies were detected at 43 of the sites, demonstrating a geographically widespread distribution of the virus in the studied area. The TULV prevalence in common voles (16.7 %) was higher than that in field voles (9.2 %) and water voles (10.0 %). Time series data at ten trapping sites showed evidence of a lasting presence of TULV RNA within common vole populations for up to 34 months, although usually at low prevalence. Phylogenetic analysis demonstrated a strong genetic structuring of TULV sequences according to geography and independent of the rodent species, confirming the common vole as the preferential host, with spillover infections to co-occurring field and water voles. TULV phylogenetic clades showed a general association with evolutionary lineages in the common vole as assessed by mitochondrial DNA sequences on a large geographical scale, but with local-scale discrepancies in the contact areas.",2016,1,30,zover
20,10.4269/ajtmh.2012.11-0762,Hantavirus Infection Prevalence in Wild Rodents and Human Anti-Hantavirus Serological Profiles from Different Geographic Areas of South Brazil,"ParanÃ¡ state presents the fourth highest number of accumulated cases of hantavirus pulmonary syndrome in Brazil. To map the risk areas for hantavirus transmission we carried out a study based on rodent trapping and determined the anti-hantavirus seroprevalence in these animals and in the inhabitants of these localities. Overall seroprevalence in rodents and humans were 2.5% and 2.4%, respectively. Eighty-two percent of the seropositive rodents were genetically analyzed. Phylogenetic analyses revealed that hantaviruses from rodent samples cluster with AraucÃ¡ria (Juquitiba-like) or JaborÃ¡ hantavirus genotypes. The JaborÃ¡ strain was identified in Akodon serrensis and Akodon montensis, whereas the AraucÃ¡ria strain was detected in Oligoryzomys nigripes, Oxymycterus judex, A. montensis, and Akodon paranaensis, with the latter species being identified for the first time as a natural host. These findings expose the complex relationships between virus and reservoirs in Brazil, which could have an impact on hantavirus transmission dynamics in nature and human epidemiology.",2012,8,1,zover
21,10.3201/eid2112.150891,"Life-Threatening Sochi Virus Infections, Russia","Sochi virus was recently identified as a new hantavirus genotype carried by the Black Sea field mouse, Apodemus ponticus. We evaluated 62 patients in Russia with Sochi virus infection. Most clinical cases were severe, and the case-fatality rate was as high as 14.5%.",2015,12,NA,zover
22,10.1006/viro.2000.0630,Genetic Diversity of Hantaviruses Isolated in China and Characterization of Novel Hantaviruses Isolated from Niviventer confucianus and Rattus rattus,"The antigenic and genetic properties of 46 hantaviruses from China, 13 from patients, 23 from rodents, and 10 from unknown hosts, were compared with those of other hantaviruses. The viruses were classified as either Hantaan (HTN) or Seoul (SEO) viruses. A phylogenetic analysis of the partial M (300 bp) and S (around 485 bp) genomes of HTN viruses identified nine distinct genetic subtypes, one consisting of isolates from Korea. The SEO viruses were divided into five genetic subtypes, although they had less variability than the HTN subtypes. There was a correlation between the subtype and province of origin for four subtypes of HTN viruses, confirming geographical clustering. Hantaan virus NC167 isolated from Niviventer confucianus and SEO virus Gou3 isolated from Rattus rattus were the basal clades in each virus. The phylogenetic trees constructed from the entire S and M segments suggested that NC167 was introduced to N. confucianus in a host-switching event. The reactivity of a panel of 35 monoclonal antibodies was almost exactly the same in NC167 and a representative HTN virus and in Gou3 and a representative SEO virus. However, there was a one-way cross-neutralization between them. These results confirm the varied nature of Murinae-associated hantaviruses in China.",2000,12,NA,zover
23,10.1292/jvms.11-0567,Studies on Hantavirus Infection in Small Mammals Captured in Southern and Central Highland Area of Vietnam,"To investigate the distribution of hantaviruses among animals in Southern and Central Highland area of Vietnam, a total of 1311 serum samples were obtained from rats and Asian house shrews (Suncus murinus) captured at 11 locations between 2006 and 2009. A total of 1066 serum samples from rats were examined for IgG antibodies against Hantaan virus, and there were 30 antibody-positive serum samples from rats that had been captured mainly in a port area and urban area in Ho Chi Minh City (HCMC) (2.8%). All of the antibody-positive rats were Rattus norvegicus, and they had Seoul virus (SEOV) genome in their lungs. SEOV sequences detected from rats captured in Southern Vietnam belonged to the same lineage as those from rats captured at Haiphong Port and a market area in Hanoi City. SEOV strain CSG5 was isolated from a rat captured at Saigon Harbor. Strain CSG5 showed a cross-neutralization pattern almost the same as that of a representative strain of SEOV. A total of 245 Asian house shrews were captured in the Central Highland area and near HCMC. Sera were examined for IgG antibodies against Thottapalayam virus (TPMV), and 32 (13.1%) of the antibody-positive shrews were mainly from the Central Highland area and showed a neutralizing antibody against TPMV. These results indicated that SEOV is distributed among R. norvegicus inhabiting harbor and urban areas of Southern Vietnam and that TPMV or an antigenically related virus is distributed among Asian house shrews in Central Highland area.",2012,NA,NA,zover
24,10.1371/journal.pone.0201307,"Habitat, species richness and hantaviruses of sigmodontine rodents within the Interior Atlantic Forest, Paraguay","Four of the nine sigmodontine tribes have species that serve as reservoirs of rodent-borne hantaviruses (RBO-HV), few have been studied in any depth. Several viruses have been associated with human cases of hantavirus pulmonary syndrome often through peridomestic exposure. Jabora (JABV) and Juquitiba (JUQV), harbored by Akodon montensis and Oligoryzomys nigripes, respectively, are endemic and sympatric in the Reserva Natural de Bosque MbaracayÃº (RNBM), Paraguay, a protected area of the Interior Atlantic Forest. Rodent communities were surveyed along a 30 km stretch of the RNBM in eight vegetation classifications (Low, High, Bamboo, Riparian and Liana Forests, Bamboo Understory, Cerrado, and Meadow/Grasslands). We collected 417 rodents from which 11 species were identified; Akodon montensis was the predominant species (72%; 95%CI: 64.7%-76.3%), followed by Hylaeamys megacephalus (15% (11.2%-18.2%)) and Oligoryzomys nigripes (9% (6.6%-12.4%)). We examined the statistical associations among habitat (vegetation class) type, rodent species diversity, population structure (age, sex, and weight), and prevalence of RBO-HV antibody and/or viral RNA (Ab/RNA) or characteristic Leishmania tail lesions. Ab/RNA positive rodents were not observed in Cerrado and Low Forest. A. montensis had an overall Ab/RNA prevalence of 7.7% (4.9%-11.3%) and O. nigripes had an overall prevalence of 8.6% (1.8%-23.1%). For A. montensis, the odds of being Ab/RNA positive in High Forest was 3.73 times of the other habitats combined. There was no significant difference among age classes in the proportion of Ab/RNA positive rodents overall (p = 0.66), however, all 11 RNA-positive individuals were adult. Sex and habitat had independent prognostic value for hantaviral Ab/RNA in the study population; age, presence of tail scar/lesion (19% of the rodents) and weight did not. Adjusting for habitat, female rodents had less risk of becoming infected. Importantly, these data suggest habitat preferences of two sympatric rodent reservoirs for two endemic hantaviruses and the importance of including habitat in models of species diversity and habitat fragmentation.",2018,8,1,zover
25,10.3201/eid1812.120596,"High Diversity of RNA Viruses in Rodents, Ethiopia","We investigated synanthropic small mammals in the Ethiopian Highlands as potential reservoirs for human pathogens and found that 2 rodent species, the Ethiopian white-footed mouse and Awash multimammate mouse, are carriers of novel Mobala virus strains. The white-footed mouse also carries a novel hantavirus, the second Murinae-associated hantavirus found in Africa.",2012,12,NA,zover
26,10.1128/jvi.76.8.3765-3773.2002,Analysis of Hantavirus Genetic Diversity in Argentina: S Segment-Derived Phylogeny,"Nucleotide sequences were determined for the complete S genome segments of the six distinct hantavirus genotypes from Argentina and for two cell culture-isolated Andes virus strains from Chile. Phylogenetic analysis indicates that, although divergent from each other, all Argentinian hantavirus genotypes group together and form a novel phylogenetic clade with the Andes virus. The previously characterized South American hantaviruses Laguna Negra virus and Rio Mamore virus make up another clade that originates from the same ancestral node as the Argentinian/Chilean viruses. Within the clade of Argentinian/Chilean viruses, three subclades can be defined, although the branching order is somewhat obscure. These are made of (i) ""Lechiguanas-like"" virus genotypes, (ii) Maciel virus and Pergamino virus genotypes, and (iii) strains of the Andes virus. Two hantavirus genotypes from Brazil, Araraquara and Castello dos Sonhos, were found to group with Maciel virus and Andes virus, respectively. The nucleocapsid protein amino acid sequence variability among the members of the Argentinian/Chilean clade does not exceed 5.8%. It is especially low (3.5%) among oryzomyine species-associated virus genotypes, suggesting recent divergence from the common ancestor. Interestingly, the Maciel and Pergamino viruses fit well with the rest of the clade although their hosts are akodontine rodents. Taken together, these data suggest that under conditions in which potential hosts display a high level of genetic diversity and are sympatric, host switching may play a prominent role in establishing hantavirus genetic diversity. However, cospeciation still remains the dominant factor in the evolution of hantaviruses.",2002,4,15,zover
27,10.1007/s00705-011-0968-1,Detection of hantaviruses in Brazilian rodents by SYBR-Green-based real-time RT-PCR,"Current knowledge of the pathogenic hantavirus indicates that wild rodents are its primary natural reservoir. Specific primers to detect the presence of viral genomes were developed using an SYBR-Green-based real-time RT-PCR protocol. One hundred sixty-four rodents native to the Atlantic Forest biome were captured in SÃ£o Paulo State, Brazil, and their tissues were tested. The presence of hantavirus RNA was detected in sixteen rodents: three specimens of Akodon montensis, three of Akodon cursor, two of Necromys lasiurus, one of Juliomys sp., one of Thaptomys nigrita, five of Oligoryzomys nigripes, and one of Oryzomys sp. This SYBR Green real-time RT-PCR method for detection of hantavirus may be useful for surveying hantaviruses in Brazil.",2011,3,27,zover
28,10.1089/vbz.2010.0129,Genetic Evidence of Hantavirus Infections in Wild Rodents from Northwestern Colombia,"This report builds on recent serological evidence for the presence of hantavirus in northern Colombia by providing sequence-specific and phylogenetic data of hantavirus infections in wild rodents. From August 2007 to August 2008, 354 rodent specimens representing four families were collected in the northwestern Antioquia region of Colombia. Antibodies reactive to Sin Nombre virus and Maciel virus antigens by IgG enzyme-linked immunosorbent assay were found in 15 of 109 (14%) Cherries cane rats (Zygodontomys cherriei), the only sigmodontinae rodents captured. Lung tissue samples from 11 of the 15 seropositive rodents were RT-polymerase chain reaction positive for hantavirus RNA, using primers for the S and M genome segments. Eight of these amplicons were sequenced and phylogenetic analyses indicated RNA of a hantavirus closely related to Calabazo virus, previously found in Panama. This is the first report of the genetic characterization of a hantavirus in rodents in Colombia.",2011,6,NA,zover
29,10.1006/viro.1997.8840,Laguna Negra Virus Associated with HPS in Western Paraguay and Bolivia,"A large outbreak of hantavirus pulmonary syndrome (HPS) recently occurred in the Chaco region of Paraguay. Using PCR approaches, partial virus genome sequences were obtained from 5 human sera, and spleens from 5 Calomys laucha rodents from the outbreak area. Genetic analysis revealed a newly discovered hantavirus, Laguna Negra (LN) virus, to be associated with the HPS outbreak and established a direct genetic link between the virus detected in the HPS cases and in the C. laucha rodents, implicating them as the primary rodent reservoir for LN virus in Paraguay. Virus isolates were obtained from two C. laucha, and represent the first successful isolation of a pathogenic South American hantavirus. Analysis of the prototype LN virus entire S and M and partial L segment nucleotide and deduced amino acid sequences showed that this virus is unique among the Sigmodontinae-borne clade of hantaviruses. Analysis of PCR fragments amplified from a serum sample from a Chilean HPS patient, who had recently traveled extensively in Bolivia (where C. laucha are known to occur), revealed an LN virus variant that was approximately 15% different at the nucleotide level and identical at the deduced amino acid level relative to the Paraguayan LN virus. These data suggest that LN virus may cause HPS in several countries in this geographic region.",1997,11,NA,zover
30,10.1006/viro.2001.0983,"Genetic Identification and Characterization of Limestone Canyon Virus, a Unique Peromyscus-Borne Hantavirus","Hantaviruses, family Bunyaviridae, are rodent-borne RNA viruses that can cause hantavirus pulmonary syndrome (HPS) in various regions of the Americas. A coevolutionary relationship exists between hantaviruses and their specific rodent reservoir hosts; the phylogeny of the viruses generally matches that of the rodents. There are several Peromyscus-borne hantaviruses, including Sin Nombre virus, the most common cause of HPS in North America. This report describes the genetic detection and characterization of a newly discovered Peromyscus boylii-borne virus, Limestone Canyon (LSC) virus, the most divergent member of the Peromyscus-borne hantaviruses to date. Analysis of a 1209-nucleotide region of the S segment of LSC virus showed it to be more closely related to hantaviruses found in harvest mice (Reithrodontomys megalotis and R. mexicanus) than to other Peromyscus-associated hantaviruses (Sin Nombre, New York, and Monongahela). Phylogenetic analysis of virtually the entire M genome segment (3489 nucleotides) of LSC virus revealed a similar picture in which LSC virus was found to be very distinct from other Peromyscus-associated viruses, but its exact relationship to the other Peromyscus-borne and the Reithrodontomys-borne viruses was not resolved. These results indicate that hantavirus host species-jumping events can occur by which a hantavirus may switch to, and become established in, a rodent host belonging to a different genus. P. boylii are present throughout the southwestern United States and central Mexico. More extensive screening of HPS patients by using RT-PCR assays will be necessary to determine if LSC virus can cause human disease.",2001,8,NA,zover
31,10.3201/eid1409.080455,"Juquitiba-like Hantavirus from 2 Nonrelated Rodent Species, Uruguay","Serologic and genetic analyses indicate that a Juquitiba-like hantavirus circulates in Maldonado, Uruguay. This virus is carried by 2 rodent species, Oligoryzomys nigripes and Oxymycterus nasutus. The same hantavirus in 2 nonrelated species can be explained by a spillover infection or a host-switching event.",2008,9,NA,zover
34,10.3201/eid2002.131418,"Andes Hantavirus Variant in Rodents, Southern Amazon Basin, Peru",We investigated hantaviruses in rodents in the southern Amazon Basin of Peru and identified an Andes virus variant from Neacomys spinosus mice. This finding extends the known range of this virus in South America and the range of recognized hantaviruses in Peru. Further studies of the epizoology of hantaviruses in this region are warranted.,2014,2,NA,zover
