doi,search_abstract,class,nchar_abstract
10.1002/ajp.20106,numerous intestinal parasites identified in populations of wild nonhuman primates can be pathogenic to humans furthermore nonhuman primates are susceptible to a variety of human pathogens because of increasing human encroachment into previously nonimpacted forests and the potential for disease transmission between human and nonhuman primate populations further detailed investigations of primate ecological parasitology are warranted for meaningful comparisons to be made it is important for methods to be standardized across study sites one aspect of methodological standardization is providing reliable estimates of parasite prevalence and knowing how many samples are needed to adequately estimate an individual s parasite prevalence in this study the parasitic fauna of 37 adult adolescent and juvenile male chimpanzees from the ngogo group kibale national park uganda were assessed from 121 fecal samples collected over a 3 month period twelve taxa of intestinal species five helminth and seven protozoan were recovered from the samples the four most prevalent species were troglodytella abrassarti 97 3 oesophagostomum sp 81 1 strongyloides sp 83 8 and entamoeba chattoni 70 3 no one species was found in all samples from any one animal and troglodytella abrassarti the most common intestinal organism was found in all of the serial samples of only 69 4 of the chimpanzees the cumulative species richness for individuals significantly increased for every sequential sample up to three to four samples taken per animal during this study the results indicate that to accurately diagnose total intestinal infection and evaluate group prevalence three to four sequential samples from each individual must be collected on nonconsecutive days this conclusion applies only to short study periods in which possible seasonal effects are not taken into consideration validation of these results at different study sites in different regions with different climatic patterns is needed,gmpd,1981
10.1002/ajp.20181,factors that influence proximity and the number and duration of contacts among individuals can influence parasite transmission among hosts and thus parasite prevalence and species richness are expected to increase with increasing host density to examine this prediction we took advantage of a unique situation following the clearing of a forest fragment that supported red colobus piliocolobus tephrosceles and black and white colobus colobus guereza the animals moved into a neighboring fragment that we had been monitoring for a number of years and for which we had described the primate parasite community after the animals immigrated into the fragment the colobus populations more than doubled and colobus density became almost twice that found in kibale national park uganda despite this increase in host density the richness of the parasite community did not increase however in both colobus species the prevalence of trichuris sp the only commonly occurring gastrointestinal parasite increased over the next 5 years the prevalence and intensity of infection of trichuris sp in red colobus declined and their population numbers slowly increased in contrast the prevalence and intensity of infection of trichuris sp increased in black and white colobus and remained high following the immigration and their population size declined while trichuris sp infections are typically asymptomatic we consider it a possibility that they contributed to the decline of the black and white colobus and that the red colobus may be serving as a reservoir for trichuris thereby increasing the infection risk for black and white colobus,gmpd,1625
10.1002/ajp.20233,humans are responsible for massive changes to primate habitats and one unanticipated consequence of these alterations may be changes in host parasite interactions edges are a ubiquitous aspect of human disturbance to forest landscapes here we examine how changes associated with the creation of edges in kibale national park uganda alter the parasite community that is supported by two species of african colobines the endangered red colobus piliocolobus tephrosceles and the black and white colobus colobus guereza an analysis of 822 fecal samples from edge and forest interior groups revealed no difference in the richness of parasite communities i e the number of parasite species recovered from the host s fecal sample however for both species the proportion of individuals with multiple infections was greater in edge than forest interior groups the prevalence of specific parasites also varied between edge and forest interior groups oesophagostomum sp a potentially deleterious parasite was 7 4 times more prevalent in red colobus on the edge than in those in the forest interior and entamoeba coli was four times more prevalent in red colobus on the edge than in animals from the forest interior environmental contamination with parasites measured as parasite eggs gm feces by red colobus from the edge and forest interior differed in a similar fashion to prevalence for red colobus but it did not differ for black and white colobus for example egg counts of oesophagostomum sp were 10 times higher in red colobus from the edge than in those from the interior the less severe infections in the black and white colobus relative to the red colobus may reflect the fact that black and white colobus raid agricultural crops while red colobus do not this nutritional gain may facilitate a more effective immune response to parasites by the black and white colobus the fact that animals on the edge are likely not nutritionally stressed raises an intriguing question as to what facilitates the elevated infections in edge animals we speculate that interactions with humans may be linked to the observed patterns of infections and hence that understanding the ecology of infectious diseases in nonhuman primates is of paramount importance for conservation and potentially for human health planning,gmpd,2298
10.1002/ajp.20298,during the period of december 2004 to january 2005 bacillus anthracis killed three wild chimpanzees pan troglodytes troglodytes and one gorilla gorilla gorilla gorilla in a tropical forest in cameroon while this is the second anthrax outbreak in wild chimpanzees this is the first case of anthrax in gorillas ever reported the number of great apes in central africa is dramatically declining and the populations are seriously threatened by diseases mainly ebola nevertheless a considerable number of deaths cannot be attributed to ebola virus and remained unexplained our results show that diseases other than ebola may also threaten wild great apes and indicate that the role of anthrax in great ape mortality may have been underestimated these results suggest that risk identification assessment and management for the survival of the last great apes should be performed with an open mind since various pathogens with distinct characteristics in epidemiology and pathogenicity may impact the populations an animal mortality monitoring network covering the entire african tropical forest with the dual aims of preventing both great ape extinction and human disease outbreaks will create necessary baseline data for such risk assessments and management plans,gmpd,1258
10.1002/ajp.20309,parasites are important members of the ecological web within which an animal lives and can be used as indicators of ecosystem health however few baseline parasitological data are available for free ranging animals particularly for the black howler monkey alouatta pigra in this study a total of 283 fecal samples were collected from 50 individually identified a pigra during 2003 and 2004 and examined for parasites the samples were processed using standard quantitative centrifugation concentration techniques with sugar and zinc sulfate used as flotation media the slides were examined using bright field and phase microscopy antigen capture enzyme linked immunosorbent assays elisas were used to detect protozoa four parasites were detected 1 controrchis biliophilus dicrocoeliidae 2 trypanoxyuris minutus oxyuridae 3 giardia sp hexamitidae and 4 entamoeba sp endamoebidae controrchis biliophilus was detected in 80 wet season and 81 dry season of the a pigra samples trypanoxyuris minutus was detected in 8 wet season and 27 dry season of samples and giardia sp was detected in 40 wet season and 27 dry season of samples for the first time dna from giardia sp positive fecal samples was extracted from a pigra alouatta pigra individuals that lived near human settlements in belize were infected with giardia duodenalis syn g lamblia g intestinalis assemblages a and b these results suggest that g duodenalis is transmitted from people and or domestic animals to a pigra,gmpd,1473
10.1002/ajp.20573,understanding the rates and causes of mortality in wild chimpanzee populations has important implications for a variety of fields including wildlife conservation and human evolution because chimpanzees are long lived accurate mortality data requires very long term studies here we analyze 47 years of data on the kasekela community in gombe national park community size fluctuated between 38 and 60 containing 60 individuals in 2006 from records on 220 chimpanzees and 130 deaths we found that the most important cause of mortality in the kasekela community was illness 58 of deaths with known cause followed by intraspecific aggression 20 of deaths with known cause previous studies at other sites also found that illness was the primary cause of mortality and that some epidemic disease could be traced to humans as at other study sites most deaths due to illness occurred during epidemics and the most common category of disease was respiratory intraspecific lethal aggression occurred within the community including the killing of infants by both males and females and among adult males during the course of dominance related aggression aggression between communities resulted in the deaths of at least five adult males and two adult females in the kasekela and kahama communities the frequency of intercommunity violence appears to vary considerably among sites and over time intercommunity lethal aggression involving the kasekela community was observed most frequently during two periods other less common causes of death included injury loss of mother maternal disability and poaching,gmpd,1592
10.1002/ajp.20601,if stress and disease impose fitness costs and if those costs vary as a function of group size then stress and disease should exert selection pressures on group size we assessed the relationships between group size stress and parasite infections across nine groups of red colobus monkeys procolobus rufomitratus in kibale national park uganda we used fecal cortisol as a measure of physiological stress and examined fecal samples to assess the prevalence and intensity of gastrointestinal helminth infections we also examined the effect of behaviors that could potentially reduce parasite transmission e g increasing group spread and reducing social interactions we found that cortisol was not significantly related to group size but parasite prevalence was negatively related to group size and group spread the observed increase in group spread could have reduced the rate of parasite transmission in larger groups however it is not clear whether this was a density dependent behavioral counter strategy to infection or a response to food competition that also reduced parasite transmission the results do not support the suggestion that gastrointestinal parasitism or stress directly imposed group size related fitness costs and we cannot conclude that they are among the mechanisms limiting group size in red colobus monkeys,gmpd,1327
10.1002/ajp.20603,early learning about edible food in the environment is a critical survival task for young nonhuman primates social learning and social facilitation are often cited to explain how youngsters learn to select and find their food in this framework we observed eight mother youngster pairs of free ranging japanese macaques divided into two sets according to the age of the young infants aged between 7 and 12 months and juveniles aged between 1 5 and 2 years during three winter months we systematically investigated the intensive observation directed by the youngsters toward elders by recording the target s identity e g mother subadult the items manipulated by the elder and those items closely observed by the youngster along with the behavior of the youngster preceding and immediately following an intensive observation period the diet of the mothers and juveniles was estimated from time records of each feeding occurrence for each food item identified to species level and from the quantity of fresh matter ingested the results show that intensive observation by both infants and juveniles were directed toward those elders engaged in plant and invertebrate foraging such behavior was age dependent being more frequent in infants than in juveniles the majority of the intensive observations were directed toward the mother intensive observations also shaped a change in the behavior of infants by significantly stimulating the investigation of food items and locations otherwise not investigated by juveniles moreover infants showed a particular interest in rare food items and especially invertebrates age differences between the two sets of young and their interest in rare foods are discussed with reference to the occurrence of intensive observation within the framework of kin relationships social organization and social transmission of information about food type and food location and its survival values,gmpd,1916
10.1002/ajp.20796,two yellow fever outbreaks yfos occurred in northeastern argentina between november 2007 and october 2008 seriously affecting populations of two howler monkey species the brown howler alouatta guariba clamitans and the black howler alouatta caraya both howlers live syntopically in el piñalito provincial park misiones where four groups 36 individuals were studied since january 2005 the first dead howlers were found on january 20 2008 in el piñalito systematic searches found 14 dead howlers within the area 12 from the study groups and two from neighboring groups with only two young seen on january 25 2008 and none found since up to december 2008 in october 2008 another yfo hit howler monkey populations from el soberbio misiones overall 59 howlers were found dead in misiones from november 2007 to december 2008 thanks to the alert of the howler s death in el piñalito a prompt human vaccination campaign started in the area wild howler monkey populations from both species are in a delicate situation in misiones especially the brown howler an already endangered species in argentina and endemic to the atlantic forest if we add the recurrence of yfos to the reduction of suitable habitat to small fragments it could be only a matter of time until howler populations disappear from the upper paraná atlantic forest in misiones,gmpd,1334
10.1002/ajp.20803,exponential expansion of human populations and human activities within primate habitats has resulted in high potential for pathogen exchange creating challenges for biodiversity conservation and global health under such conditions resilient habitat generalists such as black and gold howler monkeys alouatta caraya may act as effective sentinels to overall ecosystem health and alert us to impending epidemics in the human population to better understand this potential we examined noninvasively collected fecal samples from black and gold howler monkeys from remote rural and village populations in northern argentina we examined all samples n 90 for the zoonotic protozoa cryptosporidium sp and giardia sp via immunofluorescent antibody ifa detection all samples were negative for cryptosporidium sp the prevalence of giardia sp was significantly higher at the rural site 67 compared with the remote forest 57 and village 40 sites a lack of cryptosporidium sp in all samples examined suggests that this pathogen is not a natural component of the howler parasite communities at these sites and that current land use patterns and livestock contact are not exposing argentine howler monkeys to this pathogen high prevalence of giardia sp at all sites suggests that howler monkeys may serve as a viable reservoir for giardia significantly higher prevalence of giardia sp at the rural site where primate livestock contact is highest suggests the presence of multiple giardia clades or increased exposure to giardia through repeated zoonotic transmission among nonhuman primates livestock and or people these results highlight the need for future research into the epidemiology cross species transmission ecology and clinical consequences of giardia and other infectious agents not only in humans and livestock but also in the wild animals that share their environments,gmpd,1865
10.1002/ajp.20847,as undisturbed habitat becomes increasingly rare managers charged with ensuring the survival of endangered primate species must increasingly utilize disturbed and degraded habitats in species survival plans yet we have an imperfect understanding of the true long term viability of primate populations in disturbed habitat and census data can be misleading because density is not necessarily correlated with habitat quality and population viability in predictable ways here we present clinical laboratory data on hematology serum biochemistry fat soluble vitamins minerals iron analytes viral serology and parasitology of diademed sifaka propithecus diadema derived from the capture of 26 individuals spanning eight groups and two habitats undisturbed vs disturbed and fragmented at tsinjoarivo madagascar blood from fragment individuals had significantly lower values for several factors white blood cell counts bilirubin total protein albumin calcium sodium chloride manganese zinc iron and total iron binding capacity several biochemical variables were higher in immature individuals probably due to active growth the large number of interhabitat differences suggests that habitat disturbance has an impact on physiological health within this population perhaps reflecting dietary stress and or immunosuppression these results combined with previous data showing altered diet slower juvenile growth and reduced activity in disturbed forest fragments suggest that fragment sifakas may be less healthy than continuous forest groups finally tsinjoarivo sifakas have extremely low blood urea nitrogen perhaps reflecting protein limitation and selenium levels relative to other lemurs despite their survival and reproduction in the short term in fragments these sifakas may represent a riskier conservation investment than conspecifics in undisturbed forest and may be more susceptible to environmental stressors however more data on the fitness consequences of these biochemical differences are needed for a better interpretation of their impacts on long term viability prospects,gmpd,2077
10.1002/ajp.20884,the exponential decline of great apes over the past 50 years has resulted in an urgent need for data to inform population viability assessment and conservation strategies health monitoring of remaining ape populations is an important component of this process in support of this effort we examined endoparasitic and commensal prevalence and richness as proxies of population health for western chimpanzees pan troglodytes verus and sympatric guinea baboons papio hamadryas papio at fongoli senegal a site dominated by woodland savanna at the northwestern extent of chimpanzees geographic range the small population size and extreme environmental pressures experienced by fongoli chimpanzees make them particularly sensitive to the potential impact of pathogens one hundred thirty two chimpanzee and seventeen baboon fecal samples were processed using sodium nitrate floatation and fecal sedimentation to isolate helminth eggs larvae and protozoal cysts six nematodes physaloptera sp ascaris sp stronglyloides fuelleborni trichuris sp an unidentified hookworm and an unidentified larvated nematode one cestode bertiella sp and five protozoans iodamoeba buetschlii entamoeba coli troglodytella abrassarti troglocorys cava and an unidentified ciliate were detected in chimpanzee fecal samples four nematodes necator sp s fuelleborni trichuris sp and an unidentified hookworm sp two trematodes shistosoma mansoni and an unidentified fluke and six protozoans entamoeba histolytica dispar e coli chilomastix mesnili balantidium coli t abrassarti and t cava were detected in baboon fecal samples the low prevalence of pathogenic parasite species and high prevalence of symbiotic protozoa in fongoli chimpanzees are indicative of good overall population health however the high prevalence of pathogenic parasites in baboons who may serve as transport hosts highlight the need for ongoing pathogen surveillance of the fongoli chimpanzee population and point to the need for further research into the epidemiology and cross species transmission ecology of zoonotic pathogens at this site,gmpd,2077
10.1002/ajp.20992,a series of articles by w j freeland published in the 1970s proposed that social organization and behavioral processes were heavily influenced by parasitic infections which led to a number of intriguing hypotheses concerning how natural selection might act on social factors because of the benefits of avoiding parasite infections for example freeland 1979 showed that all individuals within a given group harbored identical gastrointestinal protozoan faunas which led him to postulate that social groups were akin to biological islands and suggest how this isolation could select specific types of ranging and dispersal patterns here we reexamine the biological island hypothesis by quantifying the protozoan faunas of the same primate species examined by freeland in the same location our results do not support this hypothesis in contrast we quantified two general changes in protozoan parasite community of primates in the study area of kibale national park uganda over the nearly 35 years between sample collections 1 the colobines found free of parasites in the early 1970s are now infected with numerous intestinal protozoan parasites and 2 groups are no longer biological islands in terms of their protozoan parasites whatever the ultimate explanation for these changes our findings have implications for studies proposing selective forces shaping primate behavior and social organization,gmpd,1396
10.1002/ajp.22040,differences in group size and habitat use are frequently used to explain the extensive variability in ranging patterns found across the primate order however with few exceptions our understanding of primate ranging patterns stems from studies of single groups and both intra and inter specific meta analyses studies with many groups and those that incorporate whole populations are rare but important for testing socioecological theory in primates we quantify the ranging patterns of nine chacma baboon troops in a single population and use spearman rank correlations and generalized linear mixed models to analyze the effects of troop size and human modified habitat a proxy for good quality habitat on home range size density individuals km 2 and daily path length intrapopulation variation in home range sizes 1 5 37 7 km 2 densities 1 3 12 1 baboons km 2 and daily path lengths 1 80 6 61 km was so vast that values were comparable to those of baboons inhabiting the climatic extremes of their current distribution both troop size and human modified habitat had an effect on ranging patterns larger troops had larger home ranges and longer daily path lengths while troops that spent more time in human modified habitat had shorter daily path lengths we found no effect of human modified habitat on home range size or density these results held when we controlled for the effects of both a single large outlier troop living exclusively in human modified habitat and baboon monitors on our spatial variables our findings confirm the ability of baboons as behaviorally adaptable dietary generalists to not only survive but also to thrive in human modified habitats with adjustments to their ranging patterns in accordance with current theory our findings also caution that studies focused on only a small sample of groups within a population of adaptable and generalist primate species may underestimate the variability in their respective localities,gmpd,1950
10.1002/ajp.22046,numerous behavioral and ecological factors are associated with parasite transmission one factor explored in human research but absent from nonhuman primate research is parasite transmission from soil ingestion human studies suggest geophagy the regular and deliberate consumption of soil increases risk of soil transmitted helminth sth infection geophagy which is prevalent in nonhuman primates has several positive associations gastrointestinal distress alleviation possible mineral supplementation and bacterial infection prevention our objective was to determine whether sth transmission was possible from deliberate or accidental soil ingestion in a troop of chacma baboons papio hamadryas ursinus that engaged in geophagy foraged on the terrestrial substrata and had a trichuris sp sample prevalence of 100 we collected and analyzed 80 soil samples from geophagy and ground foraging sites on and around wildcliff nature reserve south africa forty soil samples were collected from sites where soil was consumed and 40 were collected from sites where soil was not consumed at geophagy sites the number of trichuris sp eggs recovered varied significantly between areas used and unused by the baboons suggesting behavior is an important factor in contrast at foraging sites there was only a tendency to recover more eggs at used than unused areas and we propose egg recovery was influenced by fecal contamination that occurred throughout foraging stands the difference in egg recovery between used areas at geophagy sites and used areas at foraging sites was not significant these preliminary findings suggest both geophagy and foraging sites are a potential source of sth infection for this troop whether geophagy benefits outweigh the potential cost of parasite reinfection for this baboon troop is unknown so we encourage future research on the influence that host foraging behavior may have on parasite reinfection,gmpd,1919
10.1002/ajp.22379,parasitism is expected to impact host morbidity or mortality although the fitness costs of parasitism have rarely been quantified for wildlife hosts tapeworms in the genus taenia exploit a variety of vertebrates including livestock humans and geladas theropithecus gelada monkeys endemic to the alpine grasslands of ethiopia despite taenia s adverse societal and economic impacts we know little about the prevalence of disease associated with taenia infection in wildlife or the impacts of this disease on host health mortality and reproduction we monitored geladas at guassa ethiopia over a continuous 6 year period for external evidence cysts or coenuri of taenia associated disease coenurosis and evaluated the impact of coenurosis on host survival and reproduction we also identified through genetic and histological analyses the tapeworms causing coenurosis in wild geladas at guassa as taenia serialis nearly 1 3 of adult geladas at guassa possessed 1 coenurus at some point in the study coenurosis adversely impacted gelada survival and reproduction at guassa and this impact spanned two generations adults with coenuri suffered higher mortality than members of their sex without coenuri and offspring of females with coenuri also suffered higher mortality coenurosis also negatively affected adult reproduction lengthening interbirth intervals and reducing the likelihood that males successfully assumed reproductive control over units of females our study provides the first empirical evidence that coenurosis increases mortality and reduces fertility in wild nonhuman primate hosts our research highlights the value of longitudinal monitoring of individually recognized animals in natural populations for advancing knowledge of parasite host evolutionary dynamics and offering clues to the etiology and control of infectious disease,gmpd,1842
10.1002/ajpa.10315,there is a well documented relationship between development and other life history parameters among anthropoid primates smaller bodied anthropoids tend to mature more rapidly than do larger bodied species among anthropoids of similar body sizes folivorous species tend to grow and mature more quickly than do frugivorous species thus attaining adult body size at an earlier age this pattern conforms to the expectations of janson and van schaik s ecological risk aversion hypothesis which predicts that rates of growth and maturation should vary in inverse relation to the intensity of intraspecific feeding competition according to the ecological risk aversion hypothesis rah species experiencing high intraspecific feeding competition will grow and mature slowly to reduce the risk of mortality due to food shortages species experiencing low levels of intraspecific feeding competition will shorten the juvenile period to reduce the overall duration of this high risk portion of the life cycle this paper focuses on development and maturation in lemurs we show that folivorous lemurs such as indriids grow and mature more slowly than like sized frugivorous lemurs e g most lemurids but tend to exhibit faster dental development their dental developmental schedules are accelerated on an absolute scale relative to craniofacial growth and relative to particular life history landmarks such as weaning dental development has a strong phylogenetic component even those lemurids that consume substantial amounts of foliage have slower dental development than those indriids that consume substantial amounts of fruit implications of these results for the rah are discussed and an explanation for this hypothesis failure to predict lemur growth schedules is offered we propose that the differing developmental schedules of folivorous and frugivorous lemurs may reflect different solutions to the ecological problem of environmental instability some rely on a strategy of low maternal input and slow returns while others rely on a strategy of high maternal input and fast returns,gmpd,2074
10.1002/ajpa.20477,identifying factors that influence animal density is a fundamental goal in ecology that has taken on new importance with the need to develop informed management plans this is particularly the case for primates as the tropical forest that supports many species is being rapidly converted we use a system of forest fragments adjacent to kibale national park uganda to examine if food availability and parasite infections have synergistic affects on red colobus piliocolobus tephrosceles abundance given that the size of primate populations can often respond slowly to environmental changes we also examined how these factors influenced cortisol levels to meet these objectives we monitored gastrointestinal parasites evaluated fecal cortisol levels and determined changes in food availability by conducting complete tree inventories in eight fragments in 2000 and 2003 red colobus populations declined by an average of 21 among the fragments however population change ranged from a 25 increase to a 57 decline the cumulative basal area of food trees declined by an average of 29 5 however forest change was highly variable a 2 gain to a 71 decline we found that nematode prevalence averaged 58 among fragments range 29 83 the change in colobus population size was correlated both with food availability and a number of indices of parasite infections a path analysis suggests that change in food availability has a strong direct effect on population size but it also has an indirect effect via parasite infections,gmpd,1510
