doi,title,abstract,class
10.1186/s12985-016-0657-5,Multiple molecular detection of respiratory viruses and associated signs of airway inflammation in racehorses,the potential involvement of viruses in inflammatory airway disease iad was previously investigated through either serology or pcr from nasopharyngeal swabs ns the aims of this study were to determine the prevalence and incidence of viral genome detection by qpcr in the equine airways and their association with respiratory clinical signs ,parasite
10.7589/0090-3558-33.2.365,Use of Fenbendazole for Long-term Control of Protostrongylid Lungworms in Free-ranging Rocky Mountain Bighorn Sheep,in an effort to control protostrongylus spp in a rocky mountain bighorn sheep herd ovis canadensis canadensis of approximately 30 animals fenbendazole medicated salt was placed on the stillwater bighorn winter range in southcentral montana usa for four consecutive winters 1990 to 1993 sheep of all age and sex classes were observed using the medicated salt throughout the study period prevalence and average number of lungworm larvae per gram of bighorn feces declined significantly p 0 05 from pretreatment levels 1987 to 1989 and remained low throughout the study period free choice availability of fenbendazole medicated salt is a potentially effective management tool for long term control of protostrongylid lungworm,parasite
10.7589/0090-3558-35.4.703,GRANULOCYTIC EHRLICHIOSIS AND TICK INFESTATION IN MOUNTAIN LIONS IN CALIFORNIA,forty seven mountain lions puma concolor collected year round in 1996 to 1998 from the sierra nevada foothills the northern coast ranges and in monterey county california usa were examined for infestation with ixodes pacificus and dermacentor variabilis ticks ticks were found predominantly in winter and spring the seroprevalence of granulocytic ehrlichiae ge antibodies ehrlichia equi or the agent of human granulocytic ehrlichiosis was 17 and the pcr prevalence of dna characteristic of ge in blood was 16 there were eight polymerase chain reaction pcr positive but seronegative mountain lions one that was pcr positive and seropositive and eight that were pcr negative and seropositive nineteen percent of engorged tick pools from mountain lions were pcr positive because mountain lions inhabit tick infested habitat and are frequently bitten by i pacificus surveillance for ge antibodies and dna in mountain lions and other vertebrate hosts may be useful as indicators for geographical regions in which humans are at risk of ge infection,parasite
10.1016/0042-6822(91)90879-g,"Nucleotide sequence and genome organization of the murine polyomavirus, kilham strain",the polyomavirus kilham strain kv represents a second murine member of the polyomavirus family however in contrast to other polyomaviruses kv exhibits a stringent host and cell specificity to determine the relationship of these viruses the complete dna sequence of kv consisting of 4754 bp was determined the predicted organization of k virus was found to be comparable to that of other members of the polyomavirus family with two strands coding in an opposite direction of an intergenic region harboring putative control elements for gene expression these include consensus elements for the origin of dna replication as well as predicted promoter protein binding domains inferred signal sequences for 3 and 5 end formation of mrnas and splice branch site consensus sequences resemble those found among the sv40 group of viruses from the organization of the genome two nonstructural proteins large t and small t antigen are predicted both of which share the same amino terminal sequence three putative capsid proteins vp1 vp2 and vp3 are encoded by alternative open reading frames the nucleotide sequence in the proposed origin of dna replication and the inferred amino acid sequence of the viral proteins suggest an evolutionary relationship placing kv between the murine pyv and the sv40 group of viruses in the region bearing putative transcriptional control elements less nucleotide similarity to that of other polyomaviruses is found and this may reflect the unique host and cell specificity of kv ,parasite
10.4269/ajtmh.2002.66.713,Andes virus associated with hantavirus pulmonary syndrome in northern Argentina and determination of the precise site of infection.,hantavirus pulmonary syndrome hps has been documented in the salta and jujuy provinces of northern argentina since 1991 and 1997 respectively accounting for almost 50 of the cases of hps reported in this country andes and virus specifically the and virus nort lineage was previously associated with human disease in this region genetic analysis of viral medium rna segments obtained from 18 hps cases showed the existence of three and virus nort sublineages co circulating in these two provinces they showed a nucleotide sequence diversity of up to 11 1 between the sublineages the putative site of infection of one of these cases sal3 97 was determined a 100 nucleotide sequence identity was observed between the viral sequence found in patient sal3 97 and in two virus positive oligoryzomys chacoensis captured in the same place where the case lived and worked these results indicated the putative site of infection and identified this rodent species as the source of infection ,parasite
10.1292/jvms.61.1339,"Helminth Fauna of Carnivores distributed in North-Western Tohoku, Japan, with Special Reference to Mesocestoides paucitesticulus and Brachylaima tokudai.",in the winter of 1998 1999 we collected parasitological data from 54 wild carnivores in the north western part of tohoku region japan these consisted of 38 martens martes melampus melampus 14 raccoon dogs nyctereutes procyonoides viverrinus and 2 foxes vulpes vulpes japonica collected helminth parasites were 11 nematode 10 trematode 3 cestode and a single acanthocephalan species including 5 hitherto unknown species for this research area or the mainland of japan honshu mesocestoides paucitesticulus was for the first time recorded from martens as well as from carnivores distributed in honshu brachylaima tokudai originally recorded from urotrichus talpoides in the central part of honshu was for the first time found from a raccoon dog,parasite
10.1128/jvi.02743-12,Mother-Offspring Transmission and Age-Dependent Accumulation of Simian Foamy Virus in Wild Chimpanzees,simian foamy viruses sfvs are thought to infect virtually any adult nonhuman primate nhp while many data have accumulated about patterns of codivergence with their hosts and cross species transmission events little is known about the modalities of sfv transmission within nhp species especially in the wild here we provide a detailed investigation of the dynamics of sfv circulation in a wild community of western chimpanzees pan troglodytes verus we demonstrate that mother offspring vertical sfv transmission is common and hypothesize that it accounts for a number of primary infections we also show that multiple infections with several chimpanzee specific sfv strains i e superinfection commonly happen in adult chimpanzees which might point to adult specific aggressive behaviors as a lifelong source of sfv infection our data give evidence for complex sfv dynamics in wild chimpanzees even at a single community scale and show that linking wild nhp social interactions and their microorganisms dynamics is feasible,parasite
10.7589/0090-3558-29.3.516,Longistrongylus curvispiculum (Nematoda: Trichostrongyloidea) in Free-ranging Exotic Antelope in Texas,longistrongylus curvispiculum was recovered from free ranging sable hippotragus niger addax addax nasomaculatus and biesa oryx oryx beisa on two ranches in central texas usa these nematodes represented a small portion of the total abomasal worm burden dominated by haemonchus contortus female l curvispiculum easily could be confused with other ostertaginae but the spicules of the males were diagnostic,parasite
10.1017/s0950268898001319,"Survey on viral pathogens in wild red foxes (Vulpes vulpes)
 in 
Germany with emphasis on parvoviruses and analysis of a 
DNA sequence from a red fox parvovirus",the seroprevalence of canine parvovirus cpv canine distemper virus cdv canine adenovirus cav and canine herpesvirus chv infections in red foxes vulpes vulpes was determined in fox sera collected between 1991 and 1995 a total of 500 sera were selected and the seroprevalences were estimated to be 13 65 of 500 sera for cpv 4 4 17 of 383 sera for cdv 35 17 of 485 sera for cav and 0 4 2 of 485 sera for chv respectively no statistically significant differences were observed between the two rural and suburban areas under study parvovirus dna sequences were amplified from tissues of free ranging foxes and compared to those of prototype viruses from dogs and cats we report here a parvovirus sequence indicative of a true intermediate between the feline panleukopenia virus like viruses and the canine parvovirus like viruses the red fox parvoviral sequence therefore appears to represent a link between those viral groups the dna sequence together with a significant seroprevalence of parvovirus infections in foxes supports the hypothesis that the sudden emergence of canine parvovirus in the domestic dog population may have involved the interspecies transmission between wild and domestic carnivores,parasite
10.7589/0090-3558-46.1.251,Serologic Evidence of Leptospira spp. Serovars in Brown Bears (Ursus arctos) from Croatia,serum samples from 52 free ranging brown bears ursus arctos collected in croatia over a period of 10 yr 1998 2007 were tested by microscopic agglutination test for specific antibodies ab to 12 leptospira spp pathogenic serovars at titers ranging from 1 100 to 1 2 000 19 samples 36 5 were abpositive to at least one serovar antibodies for 10 leptospira spp serovars were detected icterohaemorrhagiae australis sejroe canicola poi hardjo ballum saxkoebing pomona and grippotyphosa in comparison to previous reports the prevalence of ab to serovar icterohaemorrhagiae 52 6 was significantly higher other common serovars were australis 47 4 and sejroe 42 1 high ab titers for serovars canicola 1 500 and grippotyphosa 1 1 000 were detected for the first time in free ranging bears from croatia a significant correlation between the age of the bears and detection of ab to leptospira spp serovars suggested the presence of pathogenic agents in the natural habitats whereas increasing trends of ab prevalence for specific serovars icter ohaemorrhagiae australis and sejroe confirmed cohabitation of bears with rats and other small terrestrial mammals on garbage dumps and at bear feeding stations to prevent cohabitation of bears and rodents improvements in croatian waste treatment big game management and rodent control programs are strongly recommended especially in lika and gorski kotar regions that have high quality natural habitats for brown bears in croatia,parasite
10.1089/vbz.2010.0170,Orthopox Virus Infections in Eurasian Wild Rodents,the genus orthopoxvirus includes variola smallpox virus and zoonotic cowpox virus cpxv all orthopoxviruses opv are serologically cross reactive and cross protective and after the cessation of smallpox vaccination cpxv and other opv infections represent an emerging threat to human health in this respect cpxv with its reservoir in asymptomatically infected wild rodents is of special importance in europe clinical cowpox has been diagnosed in both humans and animals the main objective of this study was to elucidate the prevalence of opv infections in wild rodents in different parts of eurasia and to compare the performance of three real time polymerase chain reaction pcr methods in detecting opv dna in wildlife samples we investigated 962 wild rodents from northern europe finland central europe germany and northern asia siberia russia for the presence of opv antibodies according to a cpxv antigen based immunofluorescence assay animals from 13 of the 17 locations 76 showed antibodies mean seroprevalence was 33 in finland variation between locations 0 69 32 in germany 0 43 and 3 2 0 15 in siberia we further screened tissue samples from 513 of the rodents for opv dna using up to three real time pcrs three rodents from two german and one finnish location were opv dna positive the amplicons were 96 to 100 identical to available cpxv sequences further we demonstrated opv infections as far east as the baikal region and occurring in hamster and two other rodent species ones previously unnoticed as possible reservoir hosts based on serological and pcr findings eurasian wild rodents are frequently but nonpersistently infected with opvs results from three real time pcr methods were highly concordant this study extends the geographic range and wildlife species diversity in which opv or cpxv viruses are naturally circulating ,parasite
10.7589/0090-3558-39.1.145,EVIDENCE OF LEPTOSPIRA INTERROGANS INFECTION IN CALIFORNIA SEA LION PUPS FROM THE GULF OF CALIFORNIA,forty two urine and 96 blood and serum samples were obtained from california sea lion zalophus californianus pups from the gulf of california during the 2000 reproductive season antibody prevalence to 13 serovars of leptospira interrogans was determined by microagglutination tests mat presence of pathogenic leptospires was detected by polymerase chain reaction pcr samples with antibody titers or 1 25 or 115 bp fragments on ethidium bromidestained 1 5 agarose gels were considered positive antibody prevalence was 54 overall with highest prevalence against serovar cynopteri 50 of all positive reactions highest antibody titers 1 50 were detected against serovars cynopteri and pomona polymerase chain reaction products were observed in two of 42 urine samples six of 96 blood samples and one of 96 serum samples presence of pcr products in blood and serum was demonstrated in pups that were seronegative kruskall wallis tests and corresponding post hoc tukey tests alpha 0 05 showed that prevalence of leptospirosis was significantly different among all rookeries the high seroprevalence 54 low antibody titers maximum 1 50 absence of pups showing clinical signs indicative of the disease and lack of recent reports of increased mortality of sea lions in the gulf of california are suggestive of the presence of enzootic host adapted serovars crowding in rookeries as well as the presence of bats and rodents on some of the islands may explain infection by l interrogans sensu lato and some of the differences in seroprevalence among reproductive rookeries,parasite
10.1006/viro.1993.1035,Sequence and Phylogenetic Analyses of a New STLV-I from a Naturally Infected Tantalus Monkey from Central Africa,simian t cell leukemia virus stlv i is an oncovirus highly related to human t cell leukemia virus type i htlv i to further examine the extent of variability dissemination patterns phylogeny and evolution of these viruses we analyzed a new stlv i variant from a naturally infected cercopithecus aethiops var tantalus from the central african republic sequence analyses of its ltr gag pol env and px orfii genes indicated that this isolate stlv i tan 90 is 6 divergent from the prototype htlv i atk and is the most divergent african stlv i characterized to date our phylogenetic data indicate that southeast asian and african stlv i and htlv i strains segregated from each other thousands of years ago and that japanese htlv i strains represent a relatively recent introduction of african or new world isolates the data also indicate that interspecies transmission occurred several times on different continents over prolonged periods of time,parasite
10.1016/j.vetpar.2004.11.025,Spatial distribution of Dermacentor reticulatus and Ixodes ricinus in Hungary: evidence for change?,a survey was conducted to investigate the spatial distribution of ixodes ricinus and dermacentor reticulatus in hungary and to compare these data with the results of a previous large scale survey in the survey conducted in the 1950s d reticulatus adults were detected in two isolated areas of two counties and the presence of these ticks in the collection was explained by accidental introduction in the present survey d reticulatus became the second most common species occurring in all 16 counties involved in the monitoring and showed high prevalence the change in the spatial distribution of this tick species the increase of incidence of babesia canis infection in hungary and the increasing number of canine babesiosis case reports from other central and central eastern european countries since the 1970s suggest an expansion of the geographic range of d reticulatus and intensification of the transmission rate of b canis and probably other d reticulatus borne diseases e g tularemia and tick borne lymphadenopathy in the region the spatial distribution of i ricinus was roughly in line with the results of the earlier survey i ricinus was the most common tick species being present in all 16 counties with the highest prevalence nevertheless the comparison of the data of the previous and current survey cannot be used for fine scale analysis thus it cannot be dismissed that the spatial distribution of i ricinus also changed during the past decades the spatial distribution patterns of tick borne encephalitis in hungary and other central eastern european countries may indicate such a change,parasite
10.1016/j.jcpa.2008.01.003,Histopathological Classification of Lesions Observed in Natural Cases of Paratuberculosis in Free-ranging Fallow Deer (Dama dama),ninety five adult fallow deer legally hunted in the regional hunting reserve of el sueve northern spain were subjected to a post mortem examination for paratuberculosis samples being taken from the proximal and distal jejunum proximal and distal ileum ileocaecal valve and associated lymph nodes the lesions were divided into four categories focal lesions n 19 cases consisted of small granulomas mainly in the jejunal and ileal lymph nodes multifocal lesions n 4 consisted of well demarcated granulomas in the intestinal lymphoid tissue and also in the intestinal lamina propria diffuse multibacillary lesions n 2 were characterized by a severe granulomatous enteritis and lymphadenitis macrophages and numerous langhans giant cells containing many mycobacteria were present resulting in macroscopical changes in the normal gut morphology these changes were found from the proximal jejunum to the ileocaecal valve but lesions were always particularly severe in the distal jejunum in diffuse intermediate multibacillary lymphocytic lesions n 3 the infiltrate consisted of lymphocytes macrophages and langhans giant cells with small numbers of mycobacteria mycobacterium avium subspecies paratuberculosis was identified by a polymerase chain reaction technique the widespread occurrence of paratuberculosis in fallow deer in this reserve represents a potential source of infection for other susceptible species,parasite
10.3201/eid1802.111309,"Survey of Infections Transmissible Between Baboons and Humans, Cape Town, South Africa",baboons on south africa s cape peninsula come in frequent contact with humans to determine potential health risks for both species we screened 27 baboons from 5 troops for 10 infections most 56 baboons had antibodies reactive or cross reactive to human viruses spatial overlap between these species poses low but potential health risks,parasite
10.1017/s0031182000077015,"The blood-stages of Plasmodium georgesi, P. gonderi and P. petersi: course of untreated infection in their natural hosts and additional morphological distinctive features",in the blood of a cercocebus albigena and of a c galeritus agilis monkey the infection with plasmodium gonderi was found to follow its well known chronic course p georgesi seemed to occur as a relapsing type of malaria parasite p petersi was found for only a few days and at a low level in c albigena end of an attack as shown by using polarized light the pigment granules appeared mostly as fine dots in p georgesi short rods in p gonderi and long needles in p petersi the three species can be distinguished by the morphological appearance of the nucleus of the young trophozoites and also by the measurement of its surface area sa small round nucleus sa 0 81 0 06 microns 2 in p gonderi large 2 coloured nucleus sa 1 43 0 21 microns 2 in p petersi and long crescent shaped nucleus sa 2 18 0 25 microns 2 in p georgesi the first colour illustrations of the blood stages of p georgesi are presented the dynamics of single and mixed blood infections in primate malaria parasites are discussed with a proposal to classify them into 3 types,parasite
10.1002/jmv.22263,Co-circulation of two Puumala hantavirus lineages in Latvia: A russian lineage described previously and a novel Latvian lineage,puumala hantavirus puuv causes a mild form of haemorrhagic fever with renal syndrome in europe seven genetic lineages of puuv have thus far been recorded which exhibit geographic structure within the distribution of its natural host the bank vole myodes glareolus this study presents evidence for two distinct puuv lineages co circulating in latvia one previously described from russia and a novel one that appears to be endemic the latvian lineage lat is considerably divergent and several amino acid markers make it easily distinguishable phylogenetic analysis suggested a possibility of different evolutionary histories for the puuv genome segments of lat ,parasite
10.1016/j.meegid.2017.06.008,Detection of uncommon G3P[3] rotavirus A (RVA) strain in rat possessing a human RVA-like VP6 and a novel NSP2 genotype,rotavirus is one of the leading causes of acute gastroenteritis in infants and young children rvas infect not only humans but also a wide range of mammals including rats which represent a reservoir of several other zoonotic pathogens due to the segmented nature of the rva genome animal rva strains can easily adapt to the human host by reassortment with co infecting human viruses this study aims to detect and characterize rva in the intestinal content of italian sinantropic rats rattus rattus out of 40 samples examined following molecular approach one resulted positive for rva the molecular characterization of vp1 4 6 and 7 and nsp1 5 genes by sequencing revealed the genomic constellation g3 p 3 i1 r11 c11 m10 a22 n18 t14 e18 h13 this uncommon genomic combination includes the vp1 4 vp7 the nsp1 3 4 and 5 gene segments closely related to those of rva from rodents the n18 novel genotype established for the nsp2 gene segment and the human wa like vp6 gene suggesting interspecies reassortment ,parasite
10.7589/0090-3558-38.3.500,SERUM ANTIBODY PREVALENCE OF MALIGNANT CATARRHAL FEVER VIRUSES IN SEVEN WILDLIFE SPECIES FROM ALASKA,blood samples were collected from seven species of free ranging ungulates in alaska sera were tested for evidence of exposure to malignant catarrhal fever viruses mcfv by means of a competitive enzyme linked immunosorbent assay antibody prevalences were as follows muskox ovibos moschatus 100 positive samples of 104 tested 96 dall sheep ovis dalli 212 of 222 95 elk cervus elaphus 14 of 51 27 bison bison bison 34 of 197 17 caribou rangifer tarandus nine of 232 4 sitka black tailed deer odocoileus hemionus sitkensis one of 49 2 and moose alces alces three of 219 1 antibody prevalence in a bison population from the interior was stable over a 5 yr period these results indicate that at least one virus in the mcf group is enzootic in dall sheep and muskox in alaska lower antibody prevalences in the other species in this survey suggest that mcfv are latent or subclinical in these free ranging ruminants whole blood samples were collected from 14 dall sheep and subjected to a polymerase chain reaction assay fragments of ovine herpesvirus 2 dna were detected in six of the samples the significance of these findings for the health of free ranging ungulates in alaska is unknown,parasite
10.1292/jvms.71.1035,"Detection of Antibodies against Japanese Encephalitis Virus in Raccoons, Raccoon Dogs and Wild Boars in Japan",japanese encephalitis virus jev infects numerous animal species including humans horses and pigs in this study antibodies against jev in feral raccoons procyon lotor wild boars sus scrofa and raccoon dogs nyctereutes procyonoides in japan were examined the results showed that 40 7 22 out of 54 64 5 40 out of 62 69 1 47 out of 68 and 0 0 out of 20 of raccoons in hyogo osaka wakayama and hokkaido respectively had virus neutralizing antibodies against jev in addition 83 3 30 out of 36 of wild boars and 63 2 12 out of 19 of raccoon dogs in wakayama were seropositive for jev there were no significant differences in seroprevalence of jev between males and females or between adults and juveniles in these wild animals jev seroprevalence was compared between 37 raccoons and 30 wild boars captured in a limited period november 2007 to february 2008 and we found that wild boars 86 7 were significantly more seropositive for jev antibody than raccoons 59 5 in conclusion jev was prevalent in wild mammals indicating that the possibility of jev infection in humans may still be high in japan in addition these wild animals may be good sentinels to estimate jev infection risk in residents as they live near humans and are not vaccinated,parasite
10.7589/0090-3558-26.4.447,"HELMINTH PARASITISM IN MARTENS (MARTES AMERICANA) AND ERMINES (MUSTELA ERMINEA) FROM WASHINGTON, WITH COMMENTS ON THE DISTRIBUTION OF TRICHINELLA SPIRALIS",helminths are reported for the first time from ermines mustela erminea and martens martes americana in washington usa among 22 adult ermines 41 were infected by one or more of five species taenia mustelae alaria mustelae molineus patens m mustelae and trichinella spiralis among 78 adult martens from three geographic localities the prevalence was 83 nine species were identified mesocestoides sp t mustelae and t martis americana euryhelmis squamula m patens baylisascaris devosi physaloptera sp soboliphyme baturini and t spiralis trichinella spiralis occurred with a maximum prevalence of 50 in martens but only occurred in 9 of ermines compression and digestion techniques provided a similar estimate of prevalence of t spiralis yet neither was entirely accurate in identifying all infected hosts the species richness of the helminth community of martens in washington was greater than that reported from other regions of north america,parasite
10.7589/0090-3558-36.3.588,An Epizootic of Hemorrhagic Disease in White-tailed Deer in Missouri,as part of a white tailed deer odocoileus virginianus survival study in missouri usa we were actively monitoring 97 radio collared deer when 8 8 died this mortality which occurred from 20 august to 23 september 1996 consisted of five adult females two yearling females and one yearling male based on the seasonality of this mortality and the isolation of epizootic hemorrhagic disease virus ehdv serotype 2 from one of these animals we believe that these losses resulted from an epizootic of hemorrhagic disease the remains of five unmarked deer that may have died from hd also were found on the study area during this same period during the fall following this mortality we tested serum from 96 deer taken by hunters in the immediate area fifteen 16 were positive for ehdv or bluetongue virus btv antibodies as determined by agar gel immunodiffusion tests serum neutralization test results indicated that previous infections were caused by ehdv virus serotype 2 based on these data and assuming that there was no prior exposure to ehdv serotype 2 in this population the exposure rate for this epizootic was 24 of which 8 died we noted hoof interruptions in only two of the 96 deer sampled during this mortality event the missouri department of conservation received no reports of dead deer and without the radio monitored animals the event would have been undetected,parasite
