year,topic,n,cummulative_sum,value
2017,Topic1,302,1115,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2017,Topic2,209,950,"genetic, populations, niche, dispersal, variation, traits, evolutionary, population, lineages, divergence"
2017,Topic3,295,1484,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2017,Topic4,200,762,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2017,Topic5,183,756,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
2018,Topic1,219,1334,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2018,Topic2,206,1156,"genetic, populations, niche, dispersal, variation, traits, evolutionary, population, lineages, divergence"
2018,Topic3,210,1694,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2018,Topic4,161,923,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2018,Topic5,168,924,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
2019,Topic1,2,1336,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2019,Topic3,1,1695,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2019,Topic4,1,924,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2019,Topic5,1,925,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
2020,Topic1,2,1338,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2020,Topic2,3,1159,"genetic, populations, niche, dispersal, variation, traits, evolutionary, population, lineages, divergence"
2020,Topic3,2,1697,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2020,Topic4,3,927,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2020,Topic5,1,926,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
2021,Topic1,18,1356,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2021,Topic2,7,1166,"genetic, populations, niche, dispersal, variation, traits, evolutionary, population, lineages, divergence"
2021,Topic3,15,1712,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2021,Topic4,4,931,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2021,Topic5,14,940,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
2022,Topic1,69,1425,"species, genus, first, genera, known, wild, reported, specimens, described, families"
2022,Topic2,29,1195,"genetic, populations, niche, dispersal, variation, traits, evolutionary, population, lineages, divergence"
2022,Topic3,39,1751,"data, biodiversity, information, research, science, scientific, database, databases, quality, collections"
2022,Topic4,35,966,"species, native, conservation, richness, areas, invasive, species_richness, protected, alien, sampling"
2022,Topic5,47,987,"climate, change, models, model, climate_change, suitable, future, potential, distribution, variables"
